date	t	Indo	IndoKum
07/02/2022	5	26121	26121
08/02/2022	6	37492	63613
09/02/2022	7	46843	110456
10/02/2022	8	40618	151074
11/02/2022	9	40489	191563
12/02/2022	10	55209	246772
13/02/2022	11	44526	291298
14/02/2022	12	36501	327799
15/02/2022	13	57049	384848
16/02/2022	14	64718	449566
17/02/2022	15	63956	513522
18/02/2022	16	59635	573157
19/02/2022	17	59384	632541
20/02/2022	18	48484	681025
21/02/2022	19	34418	715443
22/02/2022	20	57491	772934
23/02/2022	21	61488	834422
24/02/2022	22	57426	891848
25/02/2022	23	49447	941295
26/02/2022	24	46643	987938
27/02/2022	25	34976	1022914
28/02/2022	26	25054	1047968
01/03/2022	27	24728	1072696
02/03/2022	28	40920	1113616
03/03/2022	29	37259	1150875
04/03/2022	30	26347	1177222
05/03/2022	31	30156	1207378
06/03/2022	32	24867	1232245
07/03/2022	33	21380	1253625
08/03/2022	34	30148	1283773
09/03/2022	35	26336	1310109
10/03/2022	36	21311	1331420
11/03/2022	37	16110	1347530
12/03/2022	38	14900	1362430
13/03/2022	39	11585	1374015
14/03/2022	40	9629	1383644
15/03/2022	41	14408	1398052
16/03/2022	42	13018	1411070
17/03/2022	43	11532	1422602
18/03/2022	44	9528	1432130
19/03/2022	45	7951	1440081
20/03/2022	46	5922	1446003
21/03/2022	47	4699	1450702
22/03/2022	48	7464	1458166
23/03/2022	49	6376	1464542
24/03/2022	50	5808	1470350
25/03/2022	51	4857	1475207
26/03/2022	52	4189	1479396
27/03/2022	53	3077	1482473
28/03/2022	54	2798	1485271
29/03/2022	55	3895	1489166
30/03/2022	56	3840	1493006
31/03/2022	57	3332	1496338
01/04/2022	58	2930	1499268
02/04/2022	59	2300	1501568
03/04/2022	60	1933	1503501
04/04/2022	61	1661	1505162
05/04/2022	62	2282	1507444
06/04/2022	63	2400	1509844
07/04/2022	64	2089	1511933
08/04/2022	65	1755	1513688
09/04/2022	66	1468	1515156
10/04/2022	67	1071	1516227
11/04/2022	68	1196	1517423
12/04/2022	69	1455	1518878
13/04/2022	70	1551	1520429
14/04/2022	71	833	1521262
15/04/2022	72	922	1522184
16/04/2022	73	602	1522786
17/04/2022	74	607	1523393
18/04/2022	75	559	1523952
19/04/2022	76	837	1524789
20/04/2022	77	741	1525530
21/04/2022	78	585	1526115
22/04/2022	79	651	1526766
23/04/2022	80	522	1527288
24/04/2022	81	382	1527670
25/04/2022	82	317	1527987
26/04/2022	83	576	1528563
27/04/2022	84	617	1529180
28/04/2022	85	412	1529592
29/04/2022	86	395	1529987
30/04/2022	87	329	1530316
01/05/2022	88	244	1530560
02/05/2022	89	168	1530728
03/05/2022	90	107	1530835
04/05/2022	91	176	1531011
05/05/2022	92	250	1531261
06/05/2022	93	245	1531506
07/05/2022	94	218	1531724
08/05/2022	95	227	1531951
09/05/2022	96	254	1532205
10/05/2022	97	456	1532661
11/05/2022	98	400	1533061
12/05/2022	99	335	1533396
13/05/2022	100	335	1533731
14/05/2022	101	308	1534039
15/05/2022	102	257	1534296
16/05/2022	103	182	1534478
17/05/2022	104	247	1534725
18/05/2022	105	327	1535052
19/05/2022	106	318	1535370
20/05/2022	107	250	1535620
21/05/2022	108	263	1535883
22/05/2022	109	227	1536110
23/05/2022	110	174	1536284
24/05/2022	111	345	1536629
25/05/2022	112	315	1536944
26/05/2022	113	246	1537190
27/05/2022	114	224	1537414
28/05/2022	115	279	1537693
29/05/2022	116	242	1537935
30/05/2022	117	218	1538153
31/05/2022	118	340	1538493
