date	Infected	Is.Cum	Is	Iv	Iv.cum	Recovered	Rec.cum	Dead	Dead.cum	Vaksin	Vak.cum
28/01/2021	13695	9225	9225	4470	4470	10138	10138	476	476	5402	5402
29/01/2021	13802	23027	9297	4505	8975	10242	20380	187	663	5819	11221
30/01/2021	14518	37545	9779	4739	13714	10719	31099	210	873	9523	20744
31/01/2021	12001	49546	8084	3917	17631	10461	41560	270	1143	1738	22482
01/02/2021	10994	60540	7406	3588	21219	12848	54408	279	1422	12858	35340
02/02/2021	10379	70919	6991	3388	24607	9135	63543	304	1726	16593	51933
03/02/2021	11984	82903	8072	3912	28519	11641	75184	189	1915	19622	71555
04/02/2021	11434	94337	7702	3732	32251	9674	84858	231	2146	24932	96487
05/02/2021	11749	106086	7914	3835	36086	12204	97062	201	2347	24172	120659
06/02/2021	12156	118242	8188	3968	40054	10806	107868	191	2538	16482	137141
07/02/2021	10827	129069	7293	3534	43588	13038	120906	163	2701	1924	139065
08/02/2021	8242	137311	5552	2690	46278	10424	131330	207	2908	32139	171204
09/02/2021	8700	146011	5860	2840	49118	9520	140850	213	3121	50183	221387
10/02/2021	8776	154787	5912	2864	51982	10145	150995	191	3312	57798	279185
11/02/2021	8435	163222	5682	2753	54735	11000	161995	214	3526	66354	345539
12/02/2021	9869	173091	6648	3221	57956	11919	173914	275	3801	34941	380480
13/02/2021	8844	181935	5957	2887	60843	9237	183151	280	4081	34940	415420
14/02/2021	6765	188700	4557	2208	63051	6792	189943	247	4328	10092	425512
15/02/2021	6462	195162	4353	2109	65160	7609	197552	184	4512	57047	482559
16/02/2021	10029	205191	6756	3273	68433	8002	205554	229	4741	54522	537081
17/02/2021	9687	214878	6525	3162	71595	10546	216100	192	4933	60181	597262
18/02/2021	9039	223917	6089	2950	74545	10783	226883	181	5114	26504	623766
19/02/2021	10614	234531	7150	3464	78009	9835	236718	183	5297	45082	668848
20/02/2021	8054	242585	5425	2629	80638	8236	244954	164	5461	63720	732568
21/02/2021	7300	249885	4917	2383	83021	9918	254872	173	5634	4076	736644
22/02/2021	10180	260065	6857	3323	86344	7996	262868	202	5836	28195	764839
23/02/2021	9775	269840	6584	3191	89535	7735	270603	323	6159	25061	789900
24/02/2021	7533	277373	5074	2459	91994	8686	279289	240	6399	35684	825584
25/02/2021	8493	285866	5721	2772	94766	7261	286550	264	6663	28095	853679
26/02/2021	8232	294098	5545	2687	97453	7382	293932	268	6931	12125	865804
27/02/2021	6208	300306	4182	2026	99479	6649	300581	195	7126	116500	982304
28/02/2021	5560	305866	3745	1815	101294	9212	309793	185	7311	16069	998373
