date	Infected	Is.Cum	Is	Iv	Iv.cum	Recovered	Rec.cum	Dead	Dead.cum	Vaksin	Vak.cum
07/02/2022	26121	17595	17595	8526	8526	10708	10708	82	82	38694	38694
08/02/2022	37492	42850	25255	12237	20763	14016	24724	83	165	970694	1009388
09/02/2022	46843	74403	31553	15290	36053	18182	42906	65	230	577872	1587260
10/02/2022	40618	101763	27360	13258	49311	15767	58673	74	304	1035757	2623017
11/02/2022	40489	129036	27273	13216	62527	32570	91243	100	404	700241	3323258
12/02/2022	55209	166225	37189	18020	80547	26916	118159	107	511	805244	4128502
13/02/2022	44526	196218	29993	14533	95080	13338	131497	111	622	557443	4685945
14/02/2022	36501	220805	24587	11914	106994	26747	158244	145	767	47353	4733298
15/02/2022	57049	259233	38428	18621	125615	25386	183630	134	901	833899	5567197
16/02/2022	64718	302827	43594	21124	146739	39072	222702	167	1068	837447	6404644
17/02/2022	63956	345908	43081	20875	167614	32904	255606	206	1274	795584	7200228
18/02/2022	59635	386078	40170	19465	187079	34699	290305	216	1490	859508	8059736
19/02/2022	59384	426079	40001	19383	206462	32873	323178	158	1648	805661	8865397
20/02/2022	48484	458738	32659	15825	222287	39929	363107	163	1811	354959	9220356
21/02/2022	34418	481922	23184	11234	233521	38474	401581	176	1987	119384	9339740
22/02/2022	57491	520648	38726	18765	252286	39170	440751	257	2244	621930	9961670
23/02/2022	61488	562066	41418	20070	272356	42518	483269	227	2471	763929	10725599
24/02/2022	57426	600748	38682	18744	291100	61361	544630	317	2788	710916	11436515
25/02/2022	49447	634055	33307	16140	307240	41805	586435	244	3032	763049	12199564
26/02/2022	46643	665474	31419	15224	322464	39384	625819	258	3290	494396	12693960
27/02/2022	34976	689034	23560	11416	333880	43992	669811	229	3519	3932	12697892
28/02/2022	25054	705910	16876	8178	342058	39887	709698	262	3781	680133	13378025
